"factId","metricId","metricName","scopeType","scopeName","month","value","unit","numerator","denominator","formula","quality","alert","inputs","sources"
"F0025","total_cost","总成本","总览","OTC事业部","5月","635.73","万元","null","null","人工成本 + 市场费 + 运作费 + 品牌费","品牌费未分月","null","[{""name"":""人工成本"",""value"":423.07,""unit"":""万元""},{""name"":""市场费"",""value"":171.01,""unit"":""万元""},{""name"":""运作费"",""value"":41.64,""unit"":""万元""},{""name"":""品牌费（月度未分摊）"",""value"":0,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0026","actual_sales","实际销额","总览","OTC事业部","5月","3686.31","万元","null","null","新增费率计算表中对应部门、月份“实际销额”之和","已核对","null","[]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0027","fee_rate","费率/总成本率","总览","OTC事业部","5月","17.25","%","635.73","3686.31","总成本 ÷ 实际销额 × 100%","品牌费未分月","{""level"":""normal"",""label"":""正常"",""message"":""费率低于20%暂定阈值""}","[{""name"":""月度总成本（未分摊品牌费）"",""value"":635.73,""unit"":""万元""},{""name"":""月度实际销额"",""value"":3686.31,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0028","paid_headcount","发薪人数","总览","OTC事业部","5月","422","人","null","null","人工成本表当月记录“人数”字段之和","已核对","null","[]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=5月"",""matchedRows"":422}]"
"F0029","hire_rate","入职率","总览","OTC事业部","5月","3.55","%","15","422","当月入职人数 ÷ 当月发薪人数 × 100%","已核对","null","[{""name"":""当月入职人数"",""value"":15,""unit"":""人""},{""name"":""当月发薪人数"",""value"":422,""unit"":""人""}]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=5月"",""matchedRows"":422}]"
"F0030","turnover_rate","离职率","总览","OTC事业部","5月","7.58","%","32","422","当月离职人数 ÷ 当月发薪人数 × 100%","已核对","null","[{""name"":""当月离职人数"",""value"":32,""unit"":""人""},{""name"":""当月发薪人数"",""value"":422,""unit"":""人""}]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=5月"",""matchedRows"":422}]"
"F0031","total_cost","总成本","总览","OTC事业部","6月","372.29","万元","null","null","人工成本 + 市场费 + 运作费 + 品牌费","品牌费未分月","null","[{""name"":""人工成本"",""value"":372.29,""unit"":""万元""},{""name"":""市场费"",""value"":0,""unit"":""万元""},{""name"":""运作费"",""value"":0,""unit"":""万元""},{""name"":""品牌费（月度未分摊）"",""value"":0,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0032","actual_sales","实际销额","总览","OTC事业部","6月","3529.97","万元","null","null","新增费率计算表中对应部门、月份“实际销额”之和","已核对","null","[]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0033","fee_rate","费率/总成本率","总览","OTC事业部","6月","10.55","%","372.29","3529.97","总成本 ÷ 实际销额 × 100%","品牌费未分月","{""level"":""normal"",""label"":""正常"",""message"":""费率低于20%暂定阈值""}","[{""name"":""月度总成本（未分摊品牌费）"",""value"":372.29,""unit"":""万元""},{""name"":""月度实际销额"",""value"":3529.97,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0034","paid_headcount","发薪人数","总览","OTC事业部","6月","391","人","null","null","人工成本表当月记录“人数”字段之和","已核对","null","[]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=6月"",""matchedRows"":391}]"
